n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_portrait,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_trans_cpu_portrait,gender_classification_trans_cpu_util_limit,gender_classification_trans_cpu_util_use,gender_classification_mem_portrait,gender_classification_mem_util_limit,gender_classification_mem_util_use,gender_classification_trans_mem_portrait,gender_classification_trans_mem_util_limit,gender_classification_trans_mem_util_use
33,55.0,0.34669248263041175,70.2,360p,5,JPEG,host,172.27.143.164,0.1275946299235026,172.27.143.164,0.025654157002766936,0,0.15,0.17074999999999999,0,0.15,0.17074999999999999,2,0.006,0.0029248966667412305,2,0.006,0.0029248966667412305,host,172.27.143.164,0.21909785270690918,172.27.143.164,0.023365259170532227,0,0.15,0.17625,0,0.15,0.17625,0,0.005,0.007272971300321371,0,0.005,0.007272971300321371
34,60.0,0.07692774136861165,70.2,360p,5,JPEG,host,172.27.143.164,0.04659501711527506,172.27.143.164,0.013638337453206383,0,0.15,0.17625,0,0.15,0.17625,2,0.006,0.0029248966667412305,2,0.006,0.0029248966667412305,host,172.27.143.164,0.03033272425333659,172.27.143.164,0.01046899954477946,0,0.15,0.17850000000000002,0,0.15,0.17850000000000002,0,0.005,0.007272971300321371,0,0.005,0.007272971300321371
35,65.0,0.06591975688934326,70.1,360p,5,JPEG,host,172.27.143.164,0.045350869496663414,172.27.143.164,0.01504361629486084,0,0.25,0.2475,0,0.25,0.2475,2,0.006,0.0029248966667412305,2,0.006,0.0029248966667412305,host,172.27.143.164,0.02056888739267985,172.27.143.164,0.010644793510437012,0,0.4,0.60675,0,0.4,0.60675,0,0.003,0.007272971300321371,0,0.003,0.007272971300321371
36,70.0,0.06873953342437744,70.1,360p,5,JPEG,host,172.27.143.164,0.046314239501953125,172.27.143.164,0.012972235679626465,0,0.25,0.2425,0,0.25,0.2425,2,0.006,0.0029248966667412305,2,0.006,0.0029248966667412305,host,172.27.143.164,0.022425293922424316,172.27.143.164,0.019809643427530922,0,0.4,0.5565,0,0.4,0.5565,0,0.003,0.007272971300321371,0,0.003,0.007272971300321371
37,75.0,0.06803552309672038,70.1,360p,5,JPEG,host,172.27.143.164,0.044537981351216636,172.27.143.164,0.012214899063110352,0,0.25,0.2425,0,0.25,0.2425,2,0.006,0.0029248966667412305,2,0.006,0.0029248966667412305,host,172.27.143.164,0.023497541745503742,172.27.143.164,0.010682304700215656,0,0.4,0.5565,0,0.4,0.5565,0,0.003,0.007272971300321371,0,0.003,0.007272971300321371
38,80.0,0.061292688051859535,70.1,360p,5,JPEG,host,172.27.143.164,0.04523162047068278,172.27.143.164,0.017648975054423012,0,0.25,0.2525,0,0.25,0.2525,2,0.006,0.0029248966667412305,2,0.006,0.0029248966667412305,host,172.27.143.164,0.016061067581176758,172.27.143.164,0.01070086161295573,0,0.4,0.53125,0,0.4,0.53125,0,0.003,0.007272971300321371,0,0.003,0.007272971300321371
39,85.0,0.05891184012095133,70.1,360p,5,JPEG,host,172.27.143.164,0.04520575205485026,172.27.143.164,0.012322545051574707,0,0.25,0.24875,0,0.25,0.24875,2,0.006,0.0029248966667412305,2,0.006,0.0029248966667412305,host,172.27.143.164,0.013706088066101074,172.27.143.164,0.011405110359191895,0,0.4,0.8785,0,0.4,0.8785,0,0.003,0.007272971300321371,0,0.003,0.007272971300321371
40,86.0,0.20577335357666016,70.1,360p,20,JPEG,host,172.27.143.164,0.13388192653656006,172.27.143.164,0.03800344467163086,0,0.25,0.24875,0,0.25,0.24875,2,0.006,0.0029248966667412305,2,0.006,0.0029248966667412305,host,172.27.143.164,0.0718914270401001,172.27.143.164,0.03278470039367676,0,0.4,0.8785,0,0.4,0.8785,0,0.003,0.007272971300321371,0,0.003,0.007272971300321371
41,87.0,0.2032935619354248,70.1,360p,20,JPEG,host,172.27.143.164,0.13290834426879883,172.27.143.164,0.06776154041290283,0,0.25,0.252,0,0.25,0.252,2,0.006,0.0029248966667412305,2,0.006,0.0029248966667412305,host,172.27.143.164,0.07038521766662598,172.27.143.164,0.031104087829589844,0,0.4,0.5035000000000001,0,0.4,0.5035000000000001,2,0.008,0.007272971300321371,2,0.008,0.007272971300321371
42,88.0,0.20556509494781494,70.2,360p,20,JPEG,host,172.27.143.164,0.1462763547897339,172.27.143.164,0.038826942443847656,0,0.25,0.24425,0,0.25,0.24425,2,0.006,0.0029248966667412305,2,0.006,0.0029248966667412305,host,172.27.143.164,0.059288740158081055,172.27.143.164,0.03130745887756348,0,0.4,0.54975,0,0.4,0.54975,2,0.008,0.007272971300321371,2,0.008,0.007272971300321371
43,89.0,0.2265263795852661,70.2,360p,20,JPEG,host,172.27.143.164,0.13655614852905273,172.27.143.164,0.04030728340148926,0,0.25,0.2305,0,0.25,0.2305,2,0.006,0.0029248966667412305,2,0.006,0.0029248966667412305,host,172.27.143.164,0.08997023105621338,172.27.143.164,0.04293954372406006,0,0.4,0.6315,0,0.4,0.6315,2,0.008,0.007272971300321371,2,0.008,0.007272971300321371
44,90.0,0.22194981575012207,70.2,360p,20,JPEG,host,172.27.143.164,0.16436326503753662,172.27.143.164,0.03775382041931152,0,0.25,0.24675,0,0.25,0.24675,2,0.006,0.0029248966667412305,2,0.006,0.0029248966667412305,host,172.27.143.164,0.05758655071258545,172.27.143.164,0.03827786445617676,0,0.4,0.43,0,0.4,0.43,2,0.008,0.007272971300321371,2,0.008,0.007272971300321371
45,92.0,0.1388404369354248,70.2,360p,20,JPEG,host,172.27.143.164,0.10611502329508464,172.27.143.164,0.02514847119649251,0,0.2,0.20525,0,0.2,0.20525,0,0.004,0.0029248966667412305,0,0.004,0.0029248966667412305,host,172.27.143.164,0.03272541364034017,172.27.143.164,0.019124110539754227,0,0.6,0.6065,0,0.6,0.6065,0,0.004,0.007272971300321371,0,0.004,0.007272971300321371
46,93.0,0.21464133262634277,70.2,360p,20,JPEG,host,172.27.143.164,0.16066324710845947,172.27.143.164,0.039371609687805176,0,0.2,0.212,0,0.2,0.212,0,0.004,0.0029248966667412305,0,0.004,0.0029248966667412305,host,172.27.143.164,0.0539780855178833,172.27.143.164,0.031795382499694824,0,0.6,0.737,0,0.6,0.737,0,0.004,0.007272971300321371,0,0.004,0.007272971300321371
47,94.0,0.22391748428344727,70.2,360p,20,JPEG,host,172.27.143.164,0.16353309154510498,172.27.143.164,0.039011597633361816,0,0.2,0.20975000000000002,0,0.2,0.20975000000000002,0,0.004,0.0029248966667412305,0,0.004,0.0029248966667412305,host,172.27.143.164,0.060384392738342285,172.27.143.164,0.04694974422454834,0,0.6,0.693,0,0.6,0.693,0,0.004,0.007272971300321371,0,0.004,0.007272971300321371
48,95.0,0.19335567951202393,70.2,360p,20,JPEG,host,172.27.143.164,0.15209674835205078,172.27.143.164,0.04397261142730713,0,0.2,0.21350000000000002,0,0.2,0.21350000000000002,0,0.004,0.0029248966667412305,0,0.004,0.0029248966667412305,host,172.27.143.164,0.041258931159973145,172.27.143.164,0.03146982192993164,0,0.6,0.90675,0,0.6,0.90675,0,0.004,0.007272971300321371,0,0.004,0.007272971300321371
49,97.0,0.1276113192240397,70.2,360p,20,JPEG,host,172.27.143.164,0.1009229024251302,172.27.143.164,0.02399595578511557,0,0.2,0.21350000000000002,0,0.2,0.21350000000000002,0,0.004,0.0029248966667412305,0,0.004,0.0029248966667412305,host,172.27.143.164,0.026688416798909504,172.27.143.164,0.021048863728841145,0,0.6,0.90675,0,0.6,0.90675,0,0.004,0.007272971300321371,0,0.004,0.007272971300321371
50,98.0,0.31299829483032227,70.2,360p,20,JPEG,host,172.27.143.164,0.19649958610534668,172.27.143.164,0.039923787117004395,0,0.2,0.22274999999999998,0,0.2,0.22274999999999998,0,0.004,0.0029248966667412305,0,0.004,0.0029248966667412305,host,172.27.143.164,0.11649870872497559,172.27.143.164,0.036321401596069336,0,0.6,0.9325,0,0.6,0.9325,0,0.004,0.007272971300321371,0,0.004,0.007272971300321371
51,99.0,0.34984254837036133,70.2,360p,20,JPEG,host,172.27.143.164,0.21104192733764648,172.27.143.164,0.03893435001373291,0,0.15,0.17175,0,0.15,0.17175,0,0.004,0.0029248966667412305,0,0.004,0.0029248966667412305,host,172.27.143.164,0.13880062103271484,172.27.143.164,0.033690571784973145,0,0.25,0.3425,0,0.25,0.3425,2,0.008,0.007272971300321371,2,0.008,0.007272971300321371
52,100.0,0.33089280128479004,70.2,360p,20,JPEG,host,172.27.143.164,0.21168744564056396,172.27.143.164,0.04004096984863281,0,0.15,0.154,0,0.15,0.154,0,0.004,0.0029248966667412305,0,0.004,0.0029248966667412305,host,172.27.143.164,0.11920535564422607,172.27.143.164,0.03185832500457764,0,0.25,0.32375,0,0.25,0.32375,2,0.008,0.007272971300321371,2,0.008,0.007272971300321371
53,102.0,0.22576745351155597,70.2,360p,20,JPEG,host,172.27.143.164,0.14044109980265299,172.27.143.164,0.02732880910237631,0,0.15,0.16524999999999998,0,0.15,0.16524999999999998,0,0.004,0.0029248966667412305,0,0.004,0.0029248966667412305,host,172.27.143.164,0.085326353708903,172.27.143.164,0.021376450856526688,0,0.25,0.34575,0,0.25,0.34575,2,0.008,0.007272971300321371,2,0.008,0.007272971300321371
54,103.0,0.1748645305633545,70.2,360p,20,JPEG,host,172.27.143.164,0.1350165605545044,172.27.143.164,0.04253411293029785,0,0.15,0.16024999999999998,0,0.15,0.16024999999999998,0,0.004,0.0029248966667412305,0,0.004,0.0029248966667412305,host,172.27.143.164,0.0398479700088501,172.27.143.164,0.03210330009460449,0,0.25,0.3215,0,0.25,0.3215,2,0.008,0.007272971300321371,2,0.008,0.007272971300321371
55,104.0,0.20416653156280518,70.2,360p,20,JPEG,host,172.27.143.164,0.13706624507904053,172.27.143.164,0.03665804862976074,0,0.25,0.24975000000000003,0,0.25,0.24975000000000003,2,0.006,0.0029248966667412305,2,0.006,0.0029248966667412305,host,172.27.143.164,0.06710028648376465,172.27.143.164,0.03217148780822754,0,0.5,0.9075,0,0.5,0.9075,0,0.003,0.007272971300321371,0,0.003,0.007272971300321371
56,105.0,0.21387255191802979,70.2,360p,20,JPEG,host,172.27.143.164,0.1346813440322876,172.27.143.164,0.04303574562072754,0,0.25,0.24600000000000002,0,0.25,0.24600000000000002,2,0.006,0.0029248966667412305,2,0.006,0.0029248966667412305,host,172.27.143.164,0.07919120788574219,172.27.143.164,0.05126535892486572,0,0.5,0.5579999999999999,0,0.5,0.5579999999999999,0,0.003,0.007272971300321371,0,0.003,0.007272971300321371
57,107.0,0.13164075215657553,70.2,360p,20,JPEG,host,172.27.143.164,0.08853689829508464,172.27.143.164,0.025783538818359375,0,0.25,0.2445,0,0.25,0.2445,2,0.006,0.0029248966667412305,2,0.006,0.0029248966667412305,host,172.27.143.164,0.04310385386149088,172.27.143.164,0.02100586891174317,0,0.5,0.5982500000000001,0,0.5,0.5982500000000001,0,0.003,0.007272971300321371,0,0.003,0.007272971300321371
