n_loop,frame_id,total,up,d_role,d_ip,a_role,a_ip,encoder,fps,reso,obj_n,obj_size,obj_stable,all_delay,d_proc_delay,d_trans_delay,a_proc_delay,a_trans_delay,edge_mem_ratio
77,336.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,480p,7.0,651.9842233172842,0.0,0.13682687282562256,0.01146697998046875,0.03249335289001465,0.061443328857421875,0.031423211097717285,79.5
78,337.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,480p,7.0,645.5321672104765,0.0,0.14002156257629395,0.007944583892822266,0.03324282169342041,0.06775951385498047,0.0310746431350708,79.5
79,338.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,480p,7.0,648.922208678942,0.0,0.1493673324584961,0.007720947265625,0.041057586669921875,0.06715834140777588,0.03343045711517334,79.5
80,339.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,480p,7.0,643.6379230100928,0.0,0.13918590545654297,0.009851455688476562,0.02833998203277588,0.06861507892608643,0.0323793888092041,79.5
81,340.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,638.5509549002994,0.0,0.14487898349761963,0.011440873146057129,0.037348389625549316,0.06306779384613037,0.03302192687988281,79.5
82,341.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,368.3053943863114,0.0,0.12479734420776367,0.009077668190002441,0.025265216827392578,0.05851030349731445,0.0319441556930542,79.5
83,343.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,364.02467375390034,0.0,0.10716692606608072,0.006898323694864909,0.016097704569498696,0.06344278653462727,0.020728111267089844,79.5
84,345.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,355.7537285345191,0.0,0.10728939374287923,0.005816062291463216,0.01668834686279297,0.06018638610839844,0.02459859848022461,79.5
85,348.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,352.53532879312326,0.0,0.07950389385223389,0.004369258880615234,0.012401938438415527,0.044719398021698,0.018013298511505127,79.5
86,350.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,360.2696677436387,0.0,0.11351784070332845,0.01024333635965983,0.020984808603922524,0.060287872950236,0.022001822789510093,79.5
