n_loop,frame_id,total,up,d_role,d_ip,a_role,a_ip,encoder,fps,reso,obj_n,obj_size,obj_stable,all_delay,d_proc_delay,d_trans_delay,a_proc_delay,a_trans_delay,edge_mem_ratio
51,643.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,10,360p,7.0,355.85902047901516,0.0,0.1451461911201477,0.026790142059326172,0.010220348834991455,0.09368586540222168,0.014449834823608398,78.5
52,645.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,10,360p,7.0,355.4587573556554,0.0,0.1657989819844564,0.016242345174153645,0.013399283091227215,0.11648805936177571,0.01966929435729982,78.5
53,648.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,10,360p,7.0,369.02022664802746,0.0,0.15201163291931152,0.010128438472747803,0.009389162063598633,0.11481457948684692,0.017679452896118164,78.5
54,650.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,10,360p,7.0,362.8779762910978,0.0,0.18648370107014972,0.0146636962890625,0.01984588305155436,0.13146599133809408,0.020508130391438784,78.5
55,653.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,10,360p,7.0,364.0178059011024,0.0,0.12344497442245483,0.010042190551757812,0.01009988784790039,0.0888945460319519,0.014408349990844727,78.5
56,655.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,10,360p,7.0,367.54839953433424,0.0,0.1711405118306478,0.014502843221028646,0.012454668680826822,0.12536915143330893,0.0188138484954834,78.5
57,658.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,10,360p,7.0,364.9229142397359,0.0,0.12277001142501831,0.010229289531707764,0.009910881519317627,0.08740776777267456,0.01522207260131836,78.5
58,660.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,10,360p,7.0,357.0559584401781,0.0,0.17047588030497232,0.01566338539123535,0.014776229858398438,0.12015128135681152,0.01988498369852701,78.5
59,663.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,10,360p,7.0,363.38516937738416,0.0,0.1301174759864807,0.01015704870223999,0.009621679782867432,0.09438955783843994,0.01594918966293335,78.5
60,665.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,10,360p,7.0,359.7060180215839,0.0,0.1600624720255534,0.013534228006998697,0.012509743372599283,0.11487301190694173,0.019145488739013686,78.5
61,668.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,360p,7.0,368.0949746980997,0.0,0.06925392150878906,0.006236076354980469,0.01587390899658203,0.029913246631622314,0.017230689525604248,78.5
62,669.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,360p,7.0,368.51419427018016,0.0,0.13554179668426514,0.008376836776733398,0.033832430839538574,0.05908167362213135,0.034250855445861816,78.5
63,670.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,360p,7.0,376.2386517070866,0.0,0.13861656188964844,0.008565545082092285,0.02953970432281494,0.0674734115600586,0.03303790092468262,78.5
64,672.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,360p,7.0,376.38184868908553,0.0,0.1046601136525472,0.005120992660522461,0.020421504974365234,0.0588841438293457,0.020233472188313797,78.5
65,673.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,360p,7.0,369.3051046097867,0.0,0.14465224742889404,0.009311795234680176,0.029598236083984375,0.07100927829742432,0.034732937812805176,78.5
66,674.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,360p,7.0,368.9452218851906,0.0,0.14641118049621582,0.008214712142944336,0.03387045860290527,0.0723106861114502,0.032015323638916016,78.5
67,675.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,360p,7.0,364.4098925240022,0.0,0.1266695261001587,0.009148478507995605,0.02467644214630127,0.05797719955444336,0.03486740589141846,78.5
68,677.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,360p,7.0,368.3053943863114,0.0,0.08767898877461751,0.006168206532796224,0.017578760782877605,0.0386656920115153,0.025266329447428383,78.5
69,678.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,360p,7.0,367.0512016771744,0.0,0.143929123878479,0.008062601089477539,0.03388047218322754,0.06949436664581299,0.03249168395996094,78.5
70,679.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,20,360p,7.0,364.02467375390034,0.0,0.14980638027191162,0.009468913078308105,0.040251970291137695,0.06783628463745117,0.03224921226501465,78.5
71,680.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,20,360p,7.0,356.535366909566,0.0,0.2375270128250122,0.009461522102355957,0.04282808303833008,0.17625045776367188,0.008986949920654297,78.5
72,682.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,20,360p,7.0,353.9511770470999,0.0,0.17529424031575522,0.014731168746948242,0.015299320220947266,0.12541532516479492,0.019848426183064788,78.5
73,683.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,20,360p,7.0,359.2477934101397,0.0,0.3274343013763428,0.025769829750061035,0.020476818084716797,0.2434370517730713,0.03775060176849365,78.4
74,684.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,20,360p,7.0,352.54740908443426,0.0,0.24907517433166504,0.020876526832580566,0.01937699317932129,0.18013501167297363,0.02868664264678955,78.4
75,685.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,20,360p,7.0,355.85902047901516,0.0,0.31653261184692383,0.0208892822265625,0.01870107650756836,0.24297702312469482,0.033965229988098145,78.4
76,687.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,20,360p,7.0,355.4587573556554,0.0,0.1920163631439209,0.017870108286539715,0.025524854660034176,0.12878545125325522,0.019835948944091797,78.4
77,688.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,20,360p,7.0,355.46729163951903,0.0,0.24701130390167236,0.020832419395446777,0.018856406211853027,0.17654061317443848,0.030781865119934082,78.4
78,689.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,20,360p,7.0,361.0022774432769,0.0,0.27455806732177734,0.020311832427978516,0.018883585929870605,0.20597195625305176,0.029390692710876465,78.4
79,690.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,20,360p,7.0,369.02022664802746,0.0,0.24407219886779785,0.02135765552520752,0.018345355987548828,0.17276930809020996,0.03159987926483154,78.4
80,692.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,20,360p,7.0,362.8779762910978,0.0,0.16640138626098633,0.017722050348917644,0.012730518976847328,0.1168227990468343,0.01912601788838704,78.4
81,693.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,360p,7.0,369.7511444865959,0.0,0.1278672218322754,0.02033364772796631,0.019150853157043457,0.07323384284973145,0.01514887809753418,78.4
82,694.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,360p,7.0,368.51805966493805,0.0,0.1496056318283081,0.009134054183959961,0.048409223556518555,0.059884071350097656,0.032178282737731934,78.4
83,695.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,360p,7.0,363.9744339615073,0.0,0.13777244091033936,0.008309721946716309,0.030383825302124023,0.06312060356140137,0.035958290100097656,78.4
84,696.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,360p,7.0,360.9762131235496,0.0,0.17924463748931885,0.011730313301086426,0.030338406562805176,0.10655331611633301,0.03062260150909424,78.4
85,697.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,360p,7.0,367.5583719669043,0.0,0.14669597148895264,0.009827494621276855,0.024417996406555176,0.07609081268310547,0.03635966777801514,78.4
86,698.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,360p,7.0,362.7378810492145,0.0,0.12425100803375244,0.007080197334289551,0.025481224060058594,0.05715787410736084,0.03453171253204346,78.4
87,699.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,360p,7.0,360.3464123923165,0.0,0.141524076461792,0.009108304977416992,0.04291892051696777,0.05855560302734375,0.030941247940063477,78.4
88,700.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,360p,7.0,364.90658455164936,0.0,0.12860774993896484,0.008134007453918457,0.0296555757522583,0.05833899974822998,0.032479166984558105,78.4
89,701.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,360p,7.0,366.0353986674828,0.0,0.13185107707977295,0.008442997932434082,0.03182828426361084,0.059728384017944336,0.03185141086578369,78.4
90,702.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,30,360p,7.0,357.02470925823684,0.0,0.13598179817199707,0.008109807968139648,0.028301715850830078,0.06737887859344482,0.03219139575958252,78.4
91,703.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,361.7959985532881,0.0,0.23495471477508545,0.008759260177612305,0.02776360511779785,0.19022738933563232,0.008204460144042969,78.4
92,704.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,362.7463924251247,0.0,0.2543191909790039,0.021952509880065918,0.018738508224487305,0.1845839023590088,0.029044270515441895,78.4
93,705.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,363.38516937738416,0.0,0.2557467222213745,0.02244114875793457,0.020554423332214355,0.18210482597351074,0.030646324157714844,78.4
94,706.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,366.0356090055596,0.0,0.2623305320739746,0.02361881732940674,0.01956784725189209,0.18879103660583496,0.03035283088684082,78.4
95,707.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,359.7060180215839,0.0,0.24437856674194336,0.022089242935180664,0.019729137420654297,0.1726686954498291,0.029891490936279297,78.4
96,708.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,360.3709362008459,0.0,0.27339601516723633,0.022609233856201172,0.018405795097351074,0.20332300662994385,0.029057979583740234,78.4
97,709.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,365.8288182798632,0.0,0.2502155303955078,0.021962761878967285,0.019077062606811523,0.17995047569274902,0.02922523021697998,78.4
98,710.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,368.0763955902117,0.0,0.3241957426071167,0.026753783226013184,0.03374826908111572,0.22182345390319824,0.04187023639678955,78.4
99,711.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,368.5520877952305,0.0,0.2744189500808716,0.02214527130126953,0.020768404006958008,0.2032482624053955,0.028257012367248535,78.4
100,712.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,30,360p,7.0,376.26580140024555,0.0,0.24514448642730713,0.021962523460388184,0.018598437309265137,0.17648696899414062,0.028096556663513184,78.4
101,713.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,480p,7.0,378.0222853401418,0.0,0.15319931507110596,0.02212810516357422,0.018445253372192383,0.0844343900680542,0.028191566467285156,78.4
102,714.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,480p,7.0,651.9842233172842,0.0,0.17895936965942383,0.013427019119262695,0.06213951110839844,0.06913554668426514,0.03425729274749756,78.4
103,725.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,480p,7.0,630.9094817520818,0.0,0.02802030245463053,0.0017242034276326497,0.009670495986938477,0.009803394476572672,0.0068222085634867344,78.4
104,750.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,480p,7.0,625.3966049835352,0.0,0.01670109308682955,0.0007852591001070463,0.0074623823165893555,0.005448185480557955,0.003005266189575196,78.4
105,775.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,480p,7.0,633.512747349334,0.0,0.01942912431863638,0.0008332637640146109,0.0051895104921781095,0.010207432966965895,0.0031989170954777654,78.3
106,800.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,480p,7.0,648.922208678942,0.0,0.016782852319570687,0.0010781379846426158,0.005276001416719877,0.00741886175595797,0.0030098511622502246,78.3
107,825.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,480p,7.0,634.7117203466062,0.0,0.016493962361262396,0.0007554934575007512,0.005618920693030724,0.006645413545461802,0.003474134665269118,78.3
108,850.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,480p,7.0,636.4395988486441,0.0,0.014431100625258226,0.0006305896318875826,0.005005497198838454,0.005414843559265137,0.0033801702352670524,78.3
109,875.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,480p,7.0,623.0878551817649,0.0,0.018060610844538763,0.0008684305044320914,0.006419530281653771,0.007633080849280724,0.003139569209172176,78.3
110,900.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,480p,7.0,640.0926660635076,0.0,0.017098124210651103,0.0008726211694570688,0.0056729866908146786,0.006924069844759428,0.003628446505619929,78.3
111,925.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,1,480p,7.0,645.5879506298558,0.0,0.02302835537837102,0.0049238480054415185,0.0023799217664278475,0.013538296406085674,0.00218628920041598,78.3
112,950.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,1,480p,7.0,650.1587707773682,0.0,0.020186378405644342,0.0019458990830641526,0.0019497229502751276,0.013931742081275353,0.0023590142910297086,78.3
113,975.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,1,480p,7.0,647.8366564738099,0.0,0.020361588551447943,0.0016939640045166016,0.0019640188950758716,0.014403930077185998,0.002299675574669471,78.3
114,1000.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,1,480p,7.0,630.8555321235659,0.0,0.01917862892150879,0.001726544820345365,0.00197138236119197,0.013238127414996807,0.0022425743249746485,78.3
115,1025.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,1,480p,7.0,637.8595214427415,0.0,0.020611928059504583,0.0019217271071213942,0.0019275591923640326,0.014310598373413086,0.002452043386606071,78.3
116,1050.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,1,480p,7.0,652.0813717601122,0.0,0.0214766263961792,0.002181126521183894,0.0019225890819843001,0.01498410334953895,0.0023888074434720557,78.3
117,1075.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,1,480p,7.0,656.5339058009392,0.0,0.029214556400592513,0.002410751122694749,0.0029637079972487227,0.018007370141836312,0.005832727138812728,78.7
118,1100.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,1,480p,7.0,654.5572592605853,0.0,0.02029263973236084,0.0019992681650015023,0.0022774109473595256,0.013149490723243127,0.0028664698967566845,78.7
119,1125.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,1,480p,7.0,636.4735898897052,0.0,0.019306705548213076,0.0016490312723013072,0.0019514193901648887,0.013501891723045936,0.0022043631627009456,78.7
120,1150.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,1,480p,7.0,634.1141537661149,0.0,0.020801379130436823,0.0018628377180833083,0.002315007723294772,0.014277027203486515,0.002346506485572228,78.7
121,1175.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,480p,7.0,660.044587788854,0.0,0.018637794714707594,0.0010575881371131311,0.005428295869093675,0.009039640426635742,0.0031122702818650472,78.7
122,1176.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,480p,7.0,651.9842233172842,0.0,0.16684985160827637,0.014494657516479492,0.05167675018310547,0.059661149978637695,0.04101729393005371,78.7
123,1180.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,480p,7.0,638.5509549002994,0.0,0.06869573593139648,0.005158424377441406,0.02369976043701172,0.02288370132446289,0.016953849792480467,78.7
124,1185.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,480p,7.0,647.7866511515874,0.0,0.06083313624064128,0.003029346466064453,0.017494757970174152,0.02743979295094808,0.012869238853454593,78.7
125,1190.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,480p,7.0,634.8146484019069,0.0,0.0599812666575114,0.003545681635538737,0.022871971130371094,0.019150733947753906,0.014412879943847656,78.7
126,1195.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,5,480p,7.0,633.512747349334,0.0,0.07649242877960205,0.002606987953186035,0.01773528258005778,0.04008972644805908,0.016060431798299156,78.7
